"","survey","nDetections","sppRichness","sppShannonDiv","sppShannonEven","sppSimpsonDiv","funRich","funDiverg","funEve","city","year","prcnt_park_area","park_EIratio","park_clumpy","effort","Pop.Dens","regional.C","average forage","forage generalist","forage specialist","average diet","diet generalist","diet specialist","average clutch","large clutch","small clutch","average mass","large mass","average range","large range","small range"
"45","PA1965",71079,97,2.25718720714718,0.493405423370729,0.761816213691692,52.0986846430336,0.883393784329118,0.34875064346649,"PA",0.0810367872641777,0.277322220924536,1.10479247602075,-1.18140323054201,-0.275634015236709,0.425566829707795,-0.317753719257483,62676,7093,1310,33495,37453,131,65575,4911,593,70927,152,26786,44278,15
"46","PA1970",120433,98,2.35742622839715,0.514164220218351,0.777616915798079,51.8041702538277,0.862978803065144,0.307170955010426,"PA",0.243110361792533,0.0330671995488439,-0.40055430039945,0.142553640209628,0.48437011961358,0.0632491000883883,0.142741348944369,106420,12684,1329,59616,60160,657,112015,4255,4163,120099,334,51525,68902,6
"47","PA1975",96652,96,2.84598423519914,0.623524787289268,0.906557916919663,48.9523797481865,0.785126210950952,0.277648524063228,"PA",0.405183936320888,-0.111809029789209,0.181397621260092,0.0702226144145798,1.75506486359607,-0.350283324215537,-0.616785895580416,83199,12645,808,68217,28207,228,80800,3832,12020,95958,694,54460,42187,5
"48","PA1980",143603,101,2.69698319299587,0.584379797483984,0.874673236244462,53.3577730612809,0.799634992533733,0.329671526957853,"PA",0.567257510849244,-0.119178333013923,-0.369948526830458,0.299117900050436,1.67866233152118,-0.763815748519462,-0.200565449785153,130599,12381,623,93341,50099,163,127523,3361,12719,141791,1812,83194,60375,34
"49","PA1985",108661,88,2.96879552078515,0.663071741930396,0.927560904616298,50.2429866964959,0.747876962748577,0.30090282403164,"PA",0.729331085377599,-0.0587820870200651,-0.31577349017297,0.254687147028369,0.966912427455034,-0.995959211761952,-0.0637993737017971,96455,11814,392,79444,28908,309,88892,7005,12764,106410,2251,69755,38522,384
"50","PA1990",93206,83,2.95449570700433,0.668613323999835,0.927510698374044,35.5556575024918,0.775185142842701,0.271775517364179,"PA",0.891404659905954,-0.285895468286094,-0.564587575838314,0.590158069599838,0.745747203027701,-1.22810267500444,0.0719819598936268,82921,9866,419,61303,31718,185,66737,11163,15306,89759,3447,52502,40283,421
"51","PA1995",92794,85,3.03804940567258,0.683837022146239,0.935418936818724,38.974269034671,0.803806479574094,0.234944259240573,"PA",1.05347823443431,0.273370565572153,-0.41911018636083,0.182370413566391,0.97897598515107,-1.38034897808953,0.272210228553953,83112,9243,439,59324,33308,162,63279,9273,20242,87901,4893,53940,37376,1478
"52","PA2000",106039,83,2.71398557647959,0.614184990445465,0.877238376363889,42.8087951317212,0.874432312173439,0.351758464893474,"PA",1.21555180896267,0.0967742919190232,-0.263864257672497,-0.0548761599298994,0.576857395283192,-1.53259528117463,-0.115579360198051,96995,8647,397,48489,57248,302,84571,6223,15245,100242,5797,72742,32241,1056
"53","PA2005",113308,84,2.57813070161645,0.581863529606885,0.835914969890996,53.9814322426934,0.871549615307359,0.273801541656621,"PA",1.37762538349102,0.402012967516631,1.59621996176848,-0.977240858822068,0.74976838892638,-1.65823213548468,-0.0920544044334644,104482,8137,689,48809,64306,193,94516,5590,13202,106667,6641,84203,27851,1254
"54","PA2010",173462,96,1.8234778286281,0.39950454087546,0.617677329014752,62.497931367118,0.944945713290296,0.252362084787227,"PA",1.53969895801938,1.09777131327612,0.373584053059093,-1.09433757172642,1.12775986340218,-1.78386898979474,-0.154565433169333,165310,7384,768,42855,130203,404,160488,4441,8533,167307,6155,144155,28358,949
"55","PA2015",153809,95,2.23592061989944,0.490992767947574,0.729273190615714,53.597822482907,0.912587641078718,0.326451080164506,"PA",1.70177253254773,0.897251504516667,2.12848959518767,-1.8555087780403,2.03252669060491,-1.81021178496964,0.288311169656411,144090,8784,935,53217,100057,535,135797,4850,13162,146846,6963,130401,22381,1027
