name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
Valley City State University,North Dakota,ND,Public,4 Year,6446,7626,14072,17166,23612,8,39900,68600,56,3,North Central
Valparaiso University,Indiana,IN,Private,4 Year,11860,40260,52120,40260,52120,8,53300,98000,52,31,North Central
Vanderbilt University,Tennessee,TN,Private,4 Year,16234,49816,66050,49816,66050,1,65400,119100,48,23,South
Vermont Technical College,Vermont,VT,Public,4 Year,10598,15108,25706,27780,38378,5,52400,93900,41,4,Northeast
Villanova University,Pennsylvania,PA,Private,4 Year,14020,53308,67328,53308,67328,7,65100,119500,41,23,Northeast
Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428,14490,24918,35138,45566,16,49900,88200,52,18,South
Virginia Military Institute,Virginia,VA,Public,4 Year,9428,18862,28290,45706,55134,2,65900,120600,68,47,South
Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,8934,13620,22554,31304,40238,4,62700,114000,48,42,South
Virginia State University,Virginia,VA,Public,4 Year,11208,9056,20264,19576,30784,24,44900,81800,61,14,South
Viterbo University,Wisconsin,WI,Private,4 Year,9060,27970,37030,27970,37030,22,46800,81900,62,3,North Central
Wabash College,Indiana,IN,Private,4 Year,10050,43450,53500,43450,53500,3,62200,114400,40,34,North Central
Wake Forest University,North Carolina,NC,Private,4 Year,16032,53322,69354,53322,69354,2,60700,114800,44,13,South
Walla Walla University,Washington,WA,Private,4 Year,4275,28035,32310,28035,32310,11,53700,97800,54,22,West
Walsh College of Accountancy and Business Administration,Michigan,MI,Private,4 Year,NA,17625,17625,17625,17625,20,49400,85200,42,5,North Central
Wartburg College,Iowa,IA,Private,4 Year,9996,41280,51276,41280,51276,12,49300,88000,49,34,North Central
Washburn University,Kansas,KS,Public,4 Year,8237,8870,17107,19940,28177,12,47000,83000,54,4,North Central
Washington Adventist University,Maryland,MD,Private,4 Year,9370,23900,33270,23900,33270,10,55600,97600,63,9,South
Washington and Lee University,Virginia,VA,Private,4 Year,13925,52455,66380,52455,66380,1,65900,123200,40,18,South
Washington College,Maryland,MD,Private,4 Year,12414,46978,59392,46978,59392,14,52800,93500,55,21,South
Washington State University,Washington,WA,Public,4 Year,11398,11581,22979,26365,37763,5,55900,103700,50,20,West
Wayne State College,Nebraska,NE,Public,4 Year,7668,6989,14657,12299,19967,18,40600,73400,54,11,North Central
Wayne State University,Michigan,MI,Public,4 Year,10427,13347,23774,28241,38668,12,50800,91700,53,21,North Central
Webb Institute,New York,NY,Private,4 Year,15050,50175,65225,50175,65225,3,80800,141800,NA,100,Northeast
Weber State University,Utah,UT,Public,4 Year,6279,5831,12110,16585,22864,3,53900,94000,60,8,West
Webster University,Missouri,MO,Private,4 Year,11050,27900,38950,27900,38950,15,46500,83500,50,2,North Central
Wellesley College,Massachusetts,MA,Private,4 Year,16468,53732,70200,53732,70200,18,58900,106200,48,34,Northeast
Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,14190,33950,48140,33950,48140,15,62700,112700,53,39,Northeast
Wesley College,Delaware,DE,Private,4 Year,11717,26406,38123,26406,38123,4,45400,77300,50,2,South
Wesleyan University,Connecticut,CT,Private,4 Year,15060,54914,69974,54914,69974,3,61600,117000,53,21,Northeast
West Liberty University,West Virginia,WV,Public,4 Year,9406,7730,17136,15670,25076,10,42500,77000,51,6,South
West Virginia State University,West Virginia,WV,Public,4 Year,11892,8167,20059,16072,27964,12,41800,76000,46,8,South
West Virginia University,West Virginia,WV,Public,4 Year,10918,8856,19774,24950,35868,2,54400,99900,52,22,South
West Virginia University at Parkersburg,West Virginia,WV,Public,2 Year,NA,6330,6330,10920,10920,18,36700,65200,67,3,South
West Virginia University Institute of Technology,West Virginia,WV,Public,4 Year,11390,7464,18854,18648,30038,1,57100,103700,56,40,South
West Virginia Wesleyan College,West Virginia,WV,Private,4 Year,8856,31640,40496,31640,40496,5,47000,85200,53,21,South
Western Carolina University,North Carolina,NC,Public,4 Year,9682,4220,13902,8220,17902,25,44700,77700,58,8,South
Western Connecticut State University,Connecticut,CT,Public,4 Year,13072,10819,23891,22059,35131,15,51700,88100,50,6,Northeast
Western Governors University,Utah,UT,Private,4 Year,NA,6670,6670,6670,6670,6,54500,91500,57,9,West
Western Kentucky University,Kentucky,KY,Public,4 Year,8343,10602,18945,26496,34839,8,45500,83100,49,10,South
