institution_name,city,state,type,division,region,expenditure_m,enrollment_th
University of Kansas,Lawrence,KS,Public,Division I,North Central,25.432548,18.192
Newman University,Wichita,KS,Private,Division II,North Central,1.156526,0.818
Kansas State University,Manhattan,KS,Public,Division I,North Central,11.218413,13.516
Pittsburg State University,Pittsburg,KS,Public,Division II,North Central,1.644188,3.878
Washburn University,Topeka,KS,Public,Division II,North Central,1.547247,3.372
Wichita State University,Wichita,KS,Public,Division I,North Central,9.028839,8.498
Asbury University,Wilmore,KY,Private,Division III,South,0.22043,1.219
Bellarmine University,Louisville,KY,Private,Division I,South,3.969026,2.219
Berea College,Berea,KY,Private,Division III,South,0.366895,1.468
Centre College,Danville,KY,Private,Division III,South,0.329872,1.338
Eastern Kentucky University,Richmond,KY,Public,Division I,South,3.715222,9.944
Kentucky State University,Frankfort,KY,Public,Division II,South,1.505616,1.185
Kentucky Wesleyan College,Owensboro,KY,Private,Division II,South,1.45874,0.772
University of Kentucky,Lexington,KY,Public,Division I,South,38.069502,21.784
University of Louisville,Louisville,KY,Public,Division I,South,27.878531,11.725
Morehead State University,Morehead,KY,Public,Division I,South,3.637973,4.298
Murray State University,Murray,KY,Public,Division I,South,4.930111,6.047
Northern Kentucky University,Highland Heights,KY,Public,Division I,South,4.467815,6.703
Spalding University,Louisville,KY,Private,Division III,South,0.25705,0.513
Thomas More University,Crestview Hills,KY,Private,Division II,South,0.969499,1.236
Transylvania University,Lexington,KY,Private,Division III,South,0.655,0.999
Western Kentucky University,Bowling Green,KY,Public,Division I,South,5.597046,11.12
Centenary College of Louisiana,Shreveport,LA,Private,Division III,South,0.319404,0.613
Grambling State University,Grambling,LA,Public,Division I,South,2.395972,3.703
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,Public,Division I,South,22.625925,27.764
Louisiana Tech University,Ruston,LA,Public,Division I,South,4.595946,7.432
McNeese State University,Lake Charles,LA,Public,Division I,South,3.347509,4.382
University of New Orleans,New Orleans,LA,Public,Division I,South,2.558471,3.794
Nicholls State University,Thibodaux,LA,Public,Division I,South,1.860893,4.265
University of Louisiana at Monroe,Monroe,LA,Public,Division I,South,3.150481,3.954
Northwestern State University of Louisiana,Natchitoches,LA,Public,Division I,South,2.391537,4.326
Southeastern Louisiana University,Hammond,LA,Public,Division I,South,2.480179,8.066
Southern University and A & M College,Baton Rouge,LA,Public,Division I,South,2.278121,5.328
University of Louisiana at Lafayette,Lafayette,LA,Public,Division I,South,5.543709,10.974
Tulane University of Louisiana,New Orleans,LA,Private,Division I,South,9.060672,7.384
Bates College,Lewiston,ME,Private,Division III,Northeast,0.738495,1.753
Bowdoin College,Brunswick,ME,Private,Division III,Northeast,0.614649,1.845
Colby College,Waterville,ME,Private,Division III,Northeast,0.617193,2.282
University of Maine at Farmington,Farmington,ME,Public,Division III,Northeast,0.188276,1.002
University of Maine,Orono,ME,Public,Division I,Northeast,3.673397,7.271
Maine Maritime Academy,Castine,ME,Public,Division III,Northeast,0.331321,0.861
University of Maine at Presque Isle,Presque Isle,ME,Public,Division III,Northeast,0.151007,0.835
University of New England,Biddeford,ME,Private,Division III,Northeast,0.375694,2.165
Saint Joseph's College of Maine,Standish,ME,Private,Division III,Northeast,0.336633,0.747
University of Southern Maine,Portland,ME,Public,Division III,Northeast,0.302346,3.355
Thomas College,Waterville,ME,Private,Division III,Northeast,0.224103,0.681
Bowie State University,Bowie,MD,Public,Division II,South,0.958483,4.375
Coppin State University,Baltimore,MD,Public,Division I,South,1.502927,1.392
Frostburg State University,Frostburg,MD,Public,Division II,South,0.702112,2.38
Goucher College,Baltimore,MD,Private,Division III,South,0.336013,0.918
Hood College,Frederick,MD,Private,Division III,South,0.321395,1.172
Loyola University Maryland,Baltimore,MD,Private,Division I,South,4.112225,3.953
University of Maryland-Baltimore County,Baltimore,MD,Public,Division I,South,4.413768,9.073
University of Maryland-College Park,College Park,MD,Public,Division I,South,20.94632,28.371
University of Maryland Eastern Shore,Princess Anne,MD,Public,Division I,South,2.325008,2.058
Morgan State University,Baltimore,MD,Public,Division I,South,3.424486,7.675
Mount St. Mary's University,Emmitsburg,MD,Private,Division I,South,3.571551,1.711
Notre Dame of Maryland University,Baltimore,MD,Private,Division III,South,0.121313,0.534
Salisbury University,Salisbury,MD,Public,Division III,South,0.314907,5.765
St. Mary's College of Maryland,St. Mary's City,MD,Public,Division III,South,0.455551,1.544
Towson University,Towson,MD,Public,Division I,South,4.401404,14.516
Stevenson University,Owings Mills,MD,Private,Division III,South,0.376504,2.753
Washington College,Chestertown,MD,Private,Division III,South,0.367396,0.88
McDaniel College,Westminster,MD,Private,Division III,South,0.466492,1.639
American International College,Springfield,MA,Private,Division II,Northeast,1.449962,1.066
Amherst College,Amherst,MA,Private,Division III,Northeast,0.669985,1.907
Anna Maria College,Paxton,MA,Private,Division III,Northeast,0.207955,0.832
Assumption University,Worcester,MA,Private,Division II,Northeast,1.525104,1.652
Babson College,Wellesley,MA,Private,Division III,Northeast,0.658888,2.69
Bentley University,Waltham,MA,Private,Division II,Northeast,2.4819,4.242
Boston College,Chestnut Hill,MA,Private,Division I,Northeast,17.685985,9.702
Boston University,Boston,MA,Private,Division I,Northeast,5.119609,17.664
Brandeis University,Waltham,MA,Private,Division III,Northeast,0.888033,3.656
Bridgewater State University,Bridgewater,MA,Public,Division III,Northeast,0.226039,6.546
Clark University,Worcester,MA,Private,Division III,Northeast,0.467767,2.32
Curry College,Milton,MA,Private,Division III,Northeast,0.174324,1.616
Dean College,Franklin,MA,Private,Division III,Northeast,0.215358,1.083
Eastern Nazarene College,Quincy,MA,Private,Division III,Northeast,0.181357,0.359
Emerson College,Boston,MA,Private,Division III,Northeast,0.364743,4.106
Emmanuel College,Boston,MA,Private,Division III,Northeast,0.198912,1.822
Endicott College,Beverly,MA,Private,Division III,Northeast,0.33097,3.004
Fitchburg State University,Fitchburg,MA,Public,Division III,Northeast,0.152835,2.302
Framingham State University,Framingham,MA,Public,Division III,Northeast,0.174792,2.319
Gordon College,Wenham,MA,Private,Division III,Northeast,0.410732,1.203
Harvard University,Cambridge,MA,Private,Division I,Northeast,3.529648,7.233
College of the Holy Cross,Worcester,MA,Private,Division I,Northeast,4.641097,3.015
Lasell University,Newton,MA,Private,Division III,Northeast,0.330239,1.097
Lesley University,Cambridge,MA,Private,Division III,Northeast,0.060767,0.892
University of Massachusetts-Lowell,Lowell,MA,Public,Division I,Northeast,4.070858,9.437
University of Massachusetts-Amherst,Amherst,MA,Public,Division I,Northeast,8.58109,22.475
University of Massachusetts-Boston,Boston,MA,Public,Division III,Northeast,0.341396,9.96
Massachusetts Institute of Technology,Cambridge,MA,Private,Division III,Northeast,0.324357,4.538
Merrimack College,North Andover,MA,Private,Division I,Northeast,3.853145,3.96
Nichols College,Dudley,MA,Private,Division III,Northeast,0.325295,1.058
Massachusetts College of Liberal Arts,North Adams,MA,Public,Division III,Northeast,0.13,0.675
Northeastern University,Boston,MA,Private,Division I,Northeast,6.552308,15.719
College of Our Lady of the Elms,Chicopee,MA,Private,Division III,Northeast,0.185849,0.858
Regis College,Weston,MA,Private,Division III,Northeast,0.177821,0.866
Salem State University,Salem,MA,Public,Division III,Northeast,0.086232,3.719
Springfield College,Springfield,MA,Private,Division III,Northeast,0.449303,1.904
University of Massachusetts-Dartmouth,North Dartmouth,MA,Public,Division III,Northeast,0.278053,4.699
Stonehill College,Easton,MA,Private,Division I,Northeast,3.495509,2.447
Suffolk University,Boston,MA,Private,Division III,Northeast,0.291361,4.328
Tufts University,Medford,MA,Private,Division III,Northeast,0.643657,6.662
Wentworth Institute of Technology,Boston,MA,Private,Division III,Northeast,0.308645,3.464
Western New England University,Springfield,MA,Private,Division III,Northeast,0.513046,2.433
Westfield State University,Westfield,MA,Public,Division III,Northeast,0.255212,3.084
Wheaton College (Massachusetts),Norton,MA,Private,Division III,Northeast,0.369225,1.74
Williams College,Williamstown,MA,Private,Division III,Northeast,0.571507,2.06
Worcester Polytechnic Institute,Worcester,MA,Private,Division III,Northeast,0.721651,5.245
Worcester State University,Worcester,MA,Public,Division III,Northeast,0.216701,3.354
Adrian College,Adrian,MI,Private,Division III,North Central,0.262611,1.619
Albion College,Albion,MI,Private,Division III,North Central,0.499957,1.338
Alma College,Alma,MI,Private,Division III,North Central,0.409027,1.188
Calvin University,Grand Rapids,MI,Private,Division III,North Central,0.597258,2.737
