Student.ID,Grade,Gender,Race,Ethnicity.Hispanic.Y.N,ELL,Sped,Homeless,Free.Lunch,Migrant,Current.GPA,Number.of.Classes.Enrolled.in.for.the.school.year,Tracking.Pathway
6779,11,M,C,Hispanic,N,N,N,Y,N,2.281,7,NA
3659,11,M,C,Hispanic,N,N,N,Y,N,3.8,7,NA
7761,11,M,C,Hispanic,Y,N,N,Y,N,2.667,7,NA
6407,11,F,C,Hispanic,N,N,N,Y,N,2.367,7,NA
7282,11,M,C,Hispanic,N,Y,N,Y,N,2.3,7,NA
9983,11,M,C,Hispanic,N,N,N,Y,N,2.9,7,NA
3611,11,M,C,Hispanic,N,N,N,Y,N,2.2,7,NA
5568,11,M,C,Hispanic,N,N,N,Y,N,1.613,7,NA
9777,11,M,C,Hispanic,Y,Y,N,Y,N,1.667,7,NA
3784,11,M,C,Hispanic,N,N,N,Y,N,2.367,7,NA
9090,11,M,C,Hispanic,N,N,N,Y,N,1.467,7,NA
5317,9,M,C,Hispanic,N,N,N,Y,N,2,7,NA
460,9,F,C,Non Hispanic,N,N,N,Y,N,3,7,NA
5546,10,M,C,Hispanic,N,Y,N,Y,N,2.75,7,NA
3000,11,F,C,Hispanic,Y,N,N,Y,N,1.242,7,NA
5250,11,F,C,Hispanic,N,Y,N,Y,N,NA,7,NA
4487,9,F,C,Hispanic,Y,Y,N,Y,N,1,7,NA
106,11,M,C,Hispanic,N,N,N,Y,N,1.387,7,NA
2453,11,M,C,Hispanic,N,N,N,Y,N,1.067,7,NA
6971,11,F,C,Hispanic,N,N,N,Y,N,3.5,7,NA
8993,11,F,C,Hispanic,N,N,N,Y,N,2.9,7,NA
5560,11,M,C,Hispanic,N,N,N,Y,N,2.433,7,NA
7370,10,M,C,Hispanic,N,Y,N,Y,N,1.25,7,NA
4062,11,M,C,Hispanic,N,N,N,Y,N,1,7,NA
180,11,M,C,Hispanic,N,N,N,Y,N,1.867,7,NA
7916,11,F,C,Hispanic,N,N,N,Y,N,3.7,7,NA
8650,11,F,C,Hispanic,N,N,N,Y,N,1.406,7,NA
3116,11,F,C,Hispanic,N,N,N,Y,N,2.563,7,NA
6550,11,F,C,Hispanic,N,N,N,Y,N,3.813,7,y
1809,11,M,C,Hispanic,N,N,N,Y,N,2.6,7,NA
7452,11,M,C,Hispanic,N,Y,N,Y,N,1.867,7,NA
5058,11,M,C,Hispanic,N,N,N,Y,N,1.8,7,NA
4108,11,F,C,Hispanic,N,N,N,Y,N,3.529,7,NA
2106,11,M,C,Hispanic,N,N,N,Y,N,3.4,7,y
2831,10,F,C,Hispanic,N,N,N,Y,N,1.563,7,NA
233,11,M,C,Hispanic,N,N,N,Y,N,4.176,7,NA
7984,11,M,C,Hispanic,Y,Y,N,Y,N,1.714,7,NA
9730,11,M,C,Hispanic,N,N,N,Y,N,2.567,7,NA
3344,11,M,C,Hispanic,N,N,N,Y,N,2.063,7,y
8616,11,M,C,Hispanic,N,N,N,Y,N,1.467,7,NA
2185,11,M,C,Hispanic,N,N,N,Y,N,1.9,7,NA
